"",batter,age,season,level,bats,throws,bat_speed,attack_angle,n_pa
0,Cabrera_Miguel,40,2023,MLB,R,L,-0.437017995,-0.691507077,99
1,Cabrera_Miguel,40,2023,MLB,R,R,-0.437017995,-0.691507077,270
2,Cruz_Nelson,43,2023,AAA,R,L,1.442105263,-1.153212521,7
3,Cruz_Nelson,43,2023,AAA,R,R,1.442105263,-1.153212521,10
4,Cruz_Nelson,43,2023,MLB,R,L,0.951156812,-1.303497086,84
5,Cruz_Nelson,43,2023,MLB,R,R,0.951156812,-1.303497086,60
6,Peralta_David,36,2023,MLB,L,L,0.469151671,-0.899666944,37
7,Peralta_David,36,2023,MLB,L,R,0.469151671,-0.899666944,390
8,Pina_Manny,36,2023,A,R,L,-0.951557093,0.440358171,5
9,Pina_Manny,36,2023,A,R,R,-0.951557093,0.440358171,7
10,Pina_Manny,36,2023,AAA,R,L,-1.801315789,0.148270181,12
11,Pina_Manny,36,2023,AAA,R,R,-1.801315789,0.148270181,26
12,Pina_Manny,36,2023,MLB,R,L,-2.21722365,0.012073272,9
13,Pina_Manny,36,2023,MLB,R,R,-2.21722365,0.012073272,3
14,Longoria_Evan,38,2023,AAA,R,R,1.106578947,1.128500824,12
15,Longoria_Evan,38,2023,MLB,R,L,0.623393316,1.002914238,130
16,Longoria_Evan,38,2023,MLB,R,R,0.623393316,1.002914238,160
17,Blackmon_Charlie,37,2023,AAA,L,L,-0.268421053,0.21416804,4
18,Blackmon_Charlie,37,2023,AAA,L,R,-0.268421053,0.21416804,6
19,Blackmon_Charlie,37,2023,MLB,L,L,-0.719794344,0.07868443,104
20,Blackmon_Charlie,37,2023,MLB,L,R,-0.719794344,0.07868443,309
21,Maldonado_Martin,37,2023,MLB,R,L,-0.488431877,0.840549542,106
22,Maldonado_Martin,37,2023,MLB,R,R,-0.488431877,0.840549542,335
23,Solano_Donovan,35,2023,MLB,R,L,-0.514138817,-0.075353872,158
24,Solano_Donovan,35,2023,MLB,R,R,-0.514138817,-0.075353872,304
25,McCutchen_Andrew,36,2023,MLB,R,L,-0.192802057,0.207743547,162
26,McCutchen_Andrew,36,2023,MLB,R,R,-0.192802057,0.207743547,310
27,Turner_Justin,38,2023,MLB,R,L,-0.976863753,1.198584513,164
28,Turner_Justin,38,2023,MLB,R,R,-0.976863753,1.198584513,461
29,Votto_Joey,40,2023,AAA,L,L,0.593421053,2.730642504,33
30,Votto_Joey,40,2023,AAA,L,R,0.593421053,2.730642504,66
31,Votto_Joey,40,2023,MLB,L,L,0.122107969,2.622398002,57
32,Votto_Joey,40,2023,MLB,L,R,0.122107969,2.622398002,185
33,Andrus_Elvis,35,2023,AAA,R,L,0.034210526,-1.462108731,8
34,Andrus_Elvis,35,2023,AAA,R,R,0.034210526,-1.462108731,7
35,Andrus_Elvis,35,2023,MLB,R,L,-0.424164524,-1.615736886,106
