,Name,Age,#days,Lev,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,mlbID
1,CJ Abrams,22,426,Maj-NL,Washington,150,610,559,83,138,28,6,18,64,32,2,117,13,3,3,7,47,4,0.247,0.302,0.415,0.717,682928
2,Jos\xc3\xa9 Abreu,36,426,Maj-AL,Houston,139,586,533,61,126,23,1,18,90,41,1,129,6,0,6,16,0,1,0.236,0.295,0.385,0.68,547989
3,Wilyer Abreu,24,426,Maj-AL,Boston,28,85,76,10,24,6,0,2,14,9,0,23,0,0,0,0,3,1,0.316,0.388,0.474,0.862,677800
4,Ronald Acu\xc3\xb1a Jr.,25,426,Maj-NL,Atlanta,158,729,637,149,215,35,4,41,106,80,3,84,9,0,3,15,71,14,0.338,0.417,0.598,1.015,660670
5,Willy Adames,27,426,Maj-NL,Milwaukee,148,634,550,73,119,29,2,24,80,70,1,165,6,0,6,11,5,3,0.216,0.309,0.407,0.716,642715
6,Jordyn Adams,23,441,Maj-AL,Los Angeles,17,40,39,1,5,0,0,0,1,0,0,16,0,0,1,0,1,2,0.128,0.125,0.128,0.253,677941
7,Riley Adams,27,451,Maj-NL,Washington,44,158,143,8,39,13,2,4,21,11,0,45,2,1,1,5,0,0,0.273,0.331,0.476,0.807,656180
8,Jo Adell,24,426,Maj-AL,Los Angeles,17,62,58,7,12,3,1,3,6,4,0,25,0,0,0,1,1,0,0.207,0.258,0.448,0.706,666176
9,Ehire Adrianza,33,579,Maj-NL,Atlanta,5,11,10,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0.0,0.091,0.0,0.091,501303
10,Jes\xc3\xbas Aguilar,33,553,Maj-AL,Oakland,35,111,101,8,23,2,0,5,9,7,1,29,1,0,1,3,0,0,0.228,0.282,0.396,0.678,542583
11,Nick Ahmed,33,452,Maj-NL,Arizona,70,205,193,13,41,9,1,2,17,12,0,50,0,0,0,0,5,1,0.212,0.259,0.301,0.559,605113
12,Hanser Alberto,30,549,Maj-AL,Chicago,30,90,82,11,18,5,0,3,16,4,0,13,1,2,1,1,0,0,0.22,0.261,0.39,0.652,593643
13,Ozzie Albies,26,426,Maj-NL,Atlanta,147,655,591,96,165,30,5,33,108,46,2,107,8,0,8,9,13,1,0.279,0.335,0.514,0.85,645277
14,Jorge Alfaro,30,488,"Maj-AL,Maj-NL","Boston,Colorado",18,52,48,2,7,4,0,1,4,2,0,15,2,0,0,3,0,0,0.146,0.212,0.292,0.503,595751
15,Greg Allen,30,468,Maj-AL,New York,22,28,23,6,5,1,1,1,1,2,0,10,2,1,0,0,3,1,0.217,0.333,0.478,0.812,656185
16,Nick Allen,24,426,Maj-AL,Oakland,105,329,303,29,67,4,2,4,20,17,0,52,1,6,2,8,5,1,0.221,0.263,0.287,0.55,669397
17,Abraham Almonte,34,462,Maj-NL,New York,8,16,15,1,1,1,0,0,0,1,0,8,0,0,0,0,0,0,0.067,0.125,0.133,0.258,501659
18,Pete Alonso,28,426,Maj-NL,New York,152,649,560,91,122,21,2,45,117,64,6,150,21,0,4,17,4,1,0.218,0.319,0.504,0.823,624413
19,Jose Altuve,33,426,Maj-AL,Houston,90,410,360,76,112,21,2,17,51,44,0,71,5,0,1,9,14,2,0.311,0.393,0.522,0.915,514888
20,Jake Alu,26,426,Maj-NL,Washington,51,175,159,14,36,2,1,2,16,10,0,42,3,1,2,2,5,1,0.226,0.282,0.289,0.571,666906
21,Francisco Alvarez,21,426,Maj-NL,New York,123,423,382,51,80,12,0,25,63,34,0,110,6,0,1,14,2,0,0.209,0.284,0.437,0.721,682626
22,Yordan Alvarez,26,426,Maj-AL,Houston,112,488,404,75,118,23,1,30,93,68,5,89,12,0,4,7,0,0,0.292,0.406,0.577,0.982,670541
23,Jacob Amaya,24,524,Maj-NL,Miami,4,9,9,1,2,0,0,0,2,0,0,1,0,0,0,0,1,0,0.222,0.222,0.222,0.444,676070
24,Miguel Amaya,24,426,Maj-NL,Chicago,53,156,131,17,28,4,0,5,18,12,0,40,11,1,1,2,0,0,0.214,0.329,0.359,0.688,665804
25,Brian Anderson,30,430,Maj-NL,Milwaukee,95,358,316,38,71,12,3,9,40,35,0,107,4,0,3,10,1,3,0.225,0.307,0.367,0.674,605119
27,Tim Anderson,30,427,Maj-AL,Chicago,121,514,485,50,117,17,2,1,25,24,0,121,3,0,2,15,12,2,0.241,0.28,0.291,0.571,641313
28,Elvis Andrus,34,426,Maj-AL,Chicago,110,398,366,39,92,20,1,6,44,25,1,71,4,1,2,11,11,4,0.251,0.305,0.361,0.666,462101
29,Miguel Andujar,28,426,Maj-NL,Pittsburgh,30,90,84,9,21,7,0,4,18,6,0,13,0,0,0,1,2,0,0.25,0.3,0.476,0.776,609280
30,Jonathan Aranda,25,426,Maj-AL,Tampa Bay,34,103,87,13,20,4,1,2,13,13,1,31,2,0,1,1,0,0,0.23,0.34,0.368,0.708,666018
31,Jonathan Ara\xc3\xbaz,24,440,Maj-NL,New York,27,66,59,3,8,0,0,3,9,5,0,18,0,2,0,1,0,0,0.136,0.203,0.288,0.491,660620
32,Orlando Arcia,28,426,Maj-NL,Atlanta,138,528,484,65,128,25,0,17,64,38,0,101,3,0,3,14,1,0,0.265,0.32,0.422,0.742,606115
33,Nolan Arenado,32,436,Maj-NL,St. Louis,143,607,555,71,147,25,2,26,90,41,5,101,3,0,8,20,3,3,0.265,0.315,0.458,0.772,571448
34,Gabriel Arias,23,431,Maj-AL,Cleveland,121,345,315,36,66,15,0,10,26,28,0,113,1,0,1,9,3,4,0.21,0.275,0.352,0.628,672356
35,Randy Arozarena,28,427,Maj-AL,Tampa Bay,150,650,547,95,139,19,3,23,82,80,1,156,18,0,5,10,22,10,0.254,0.365,0.426,0.791,668227
36,Luis Arr\xc3\xa1ez,26,428,Maj-NL,Miami,145,609,567,70,200,29,3,10,68,34,10,33,4,1,3,18,3,2,0.353,0.391,0.467,0.859,650333
37,Christian Arroyo,28,486,Maj-AL,Boston,65,202,191,23,46,15,0,3,22,7,0,44,1,1,2,7,1,3,0.241,0.269,0.367,0.635,624414
